"","q101d1"
"850",26133
"851",26133
"852",26133
"853",26133
"854",26133
"855",28661
"856",28661
"857",34197
"858",26150
"859",33969
"860",25659
"861",31357
"862",32819
"863",25659
"864",34500
"865",34500
"866",25659
"867",34500
"868",25659
"869",33464
"870",25659
"871",25659
"872",28661
"873",34500
"874",28661
"875",25659
"876",25659
"877",25659
"878",50760
"879",59249
"880",57974
"881",33969
"882",32819
"883",26150
"884",33969
"885",25659
"886",33969
"887",26133
"888",28661
"889",47335
"890",33969
"891",26150
"892",62290
"893",26133
"894",25659
"895",28661
"896",62290
"897",26133
"898",26150
"899",34197
"900",25659
"901",34197
"902",47377
"903",33969
"904",25659
"905",25659
"906",47335
"907",26133
"908",26133
"909",25659
"910",16413
"911",29880
"912",16413
"913",16413
"914",25659
"915",47377
"916",47377
"917",28661
"918",26133
"919",19595
"920",31357
"921",31357
"922",29880
"923",28661
"924",59249
"925",59249
"926",33969
"927",32819
"928",25659
"929",59249
"930",28661
"931",57974
"932",59249
"933",59249
"934",33969
"935",59249
"936",57974
"937",25659
"938",26150
"939",28661
"940",26150
"941",28661
"942",31357
"943",57974
"944",34500
"945",62290
"946",28661
"947",28661
"948",47335
"949",26150
"950",33969
"951",28661
"952",28661
"953",26133
"954",29880
"955",25659
"956",85213
"957",47335
"958",50760
"959",28661
"960",47335
"961",33969
"962",47335
"963",38460
"964",59249
"965",33464
"966",32819
"967",33969
"968",47335
"969",33464
"970",47335
"971",19595
"972",38460
"973",19595
"974",85213
"975",32819
"976",29880
"977",33969
"978",32819
"979",32819
"980",25659
"981",33969
"982",57974
"983",47377
"984",47335
"985",31357
"986",28661
"987",50807
"988",33969
"989",47377
"990",26150
"991",28661
"992",59249
"993",34197
"994",59249
"995",38460
"996",31357
"997",50760
"998",47335
"999",25659
"1000",25659
"1001",25659
"1002",25659
"1003",25659
"1004",33969
"1005",33969
"1006",33969
"1007",25659
"1008",16413
"1009",33969
"1010",25659
"1011",47377
"1012",25659
"1013",33969
"1014",33969
"1015",25659
"1016",25659
"1017",33969
"1018",19595
"1019",16413
"1020",38460
"1021",32819
"1022",47377
"1023",59249
"1024",47335
"1025",32819
"1026",47335
"1027",34197
"1028",50760
"1029",59249
"1030",29880
"1031",33969
"1032",33969
"1033",29880
"1034",28661
"1035",47377
"1036",33969
"1037",25659
"1038",50760
"1039",57974
"1040",59249
"1041",32819
"1042",50760
"1043",47377
"1044",33969
"1045",19595
"1046",26133
"1047",25659
"1048",57974
"1049",47335
"1050",47377
"1051",34197
"1052",50807
"1053",33969
"1054",28661
"1055",47377
"1056",33969
"1057",50760
"1058",32819
"1059",59249
"1060",33969
"1061",59249
"1062",38460
"1063",59249
"1064",31357
"1065",59249
"1066",47377
"1067",25659
"1068",59249
"1069",47335
"1070",33969
"1071",26150
"1072",59249
"1073",85213
"1074",59249
"1075",25659
"1076",59249
"1077",33969
"1078",50760
"1079",38460
"1080",47335
"1081",47377
"1082",47335
"1083",33969
"1084",28661
"1085",47377
"1086",34197
"1087",33969
"1088",34197
"1089",50760
"1090",47335
"1091",47335
"1092",31357
"1093",47335
"1094",47335
"1095",57974
"1096",25326
"1097",47335
"1098",33969
"1099",47335
"1100",28661
"1101",28661
"1102",19595
"1103",33969
"1104",33969
"1105",32819
"1106",33969
"1107",50760
"1108",33969
"1109",47335
"1110",38460
"1111",28661
"1112",33969
"1113",34197
"1114",34197
"1115",34197
"1116",33969
"1117",33969
"1118",28661
"1119",33969
"1120",32819
"1121",31357
"1122",25659
"1123",29880
"1124",33969
"1125",26150
"1126",34197
"1127",57974
"1128",33969
"1129",31357
"1130",16413
"1131",50760
"1132",19595
"1133",28661
"1134",33969
"1135",33969
"1136",33969
"1137",47335
"1138",50760
"1139",47335
"1140",31357
"1141",33969
"1142",28661
"1143",33969
"1144",28661
"1145",31357
"1146",28661
"1147",29880
"1148",31357
"1149",33969
"1150",34197
"1151",33969
"1152",19595
"1153",31357
"1154",31357
"1155",33969
"1156",19595
"1157",28661
"1158",28661
"1159",33969
"1160",33969
"1161",47377
"1162",32819
"1163",59249
"1164",28661
"1165",32819
"1166",29522
"1167",33969
"1168",19595
"1169",26133
"1170",47335
"1171",50760
"1172",47335
"1173",85213
"1174",32819
