"","toCode","fromCode","rate","dis","orgGDP","amount","Province","Population","Birth_Rate","Avg_Life","GDP_PC","Unemploy_Rate","Flat_Rates","Price_Rates","City_Income","Country_income","Green_Rate","Disasters","Stu_Rate_H","Low_Income","Low_Income_Insurance","Flat_Rates_Change"
"129",32,15,0.0105580693815988,"1545",57974,7,"江苏省",7899,9.59,76.63,62290,3.2,6554.41,105.3,26340.7,10805,23.75,52,2824,40.9,342,0.122138332
"130",33,15,0.00603318250377074,"1802",57974,4,"浙江省",5463,9.47,77.73,59249,3.1,9838.06,105.4,30970.7,13070.7,10.52,679,2218,8.8,367,0.062655001
"131",34,15,0,"1518",57974,0,"安徽省",5968,12.23,75.08,25659,3.7,4776.1,105.6,18606.1,6232.2,7.6,175,2007,84.2,254,0.135814507
"132",35,15,0.00301659125188537,"2401",57974,2,"福建省",3720,11.41,75.76,47377,3.7,7764.29,105.3,24907.4,8778.6,5.08,102,2200,18.1,218,0.241094949
"133",36,15,0.0105580693815988,"1906",57974,7,"江西省",4488,13.48,74.33,26150,3,4147.7,105.2,17494.9,6891.6,4.51,660,2212,98.1,244,0.319243003
"134",37,15,0.0407239819004525,"902",57974,27,"山东省",9637,11.5,76.46,47335,3.4,4447.73,105,22791.8,8342.1,16.56,27,2191,60.6,286,0.127720588
"135",41,15,0,"955",57974,0,"河南省",9388,11.56,74.57,28661,3.4,3500.8,105.6,18194.8,6604,6.96,49,1901,141.9,202,0.150821828
"136",42,15,0.00452488687782805,"1514",57974,3,"湖北省",5758,10.39,74.87,34197,4.1,4486.39,105.8,18373.9,6897.9,6.21,580,2991,137.2,252,0.198608068
"137",43,15,0,"1798",57974,0,"湖南省",6596,13.35,74.7,29880,4.2,3790.26,105.5,18844.1,6567.1,4.96,8844,2054,145.1,214,0.204787031
"138",44,15,0.00754147812971342,"2461",57974,5,"广东省",10505,10.45,76.49,50807,2.5,7879.17,105.3,26897.5,9371.7,41.06,100,1978,40,254,0.052520705
"139",45,15,0,"2657",57974,0,"广西壮族自治区",4645,13.71,75.11,25326,3.5,3772.47,105.9,18854.1,5231.3,6.45,411,1688,57.3,228,0.059087591
"140",46,15,0,"3057",57974,0,"海南省",877,14.72,76.3,28898,1.7,8943.45,106.1,18369,6446,4.98,107,2079,17.1,250,0.023863766
"141",50,15,0,"1847",57974,0,"重庆市",2919,9.88,75.7,34500,3.5,4733.84,105.3,20249.7,6480.4,4.39,133,2522,56.9,256,0.105779024
"142",51,15,0,"1789",57974,0,"四川省",8050,9.79,74.75,26133,4.2,4917.88,105.3,17899.1,6128.6,7.74,1997,1904,189.3,210,0.188467859
"143",52,15,0,"2227",57974,0,"贵州省",3469,13.31,71.1,16413,3.6,3888.78,105.1,16495,4145.4,3.05,214,1254,54.3,212,0.158409294
"144",53,15,0,"2816",57974,0,"云南省",4631,12.71,69.54,19265,4.1,3635.38,104.9,18575.6,4722,3.19,346,1520,93.1,206,0.151165294
"145",54,15,0,"3260",57974,0,"西藏自治区",303,15.39,68.17,20077,3.2,3474.51,105,16195.6,4904.3,0.29,139,1446,4.3,306,0.19976174
"146",61,15,0,"1000",57974,0,"陕西省",3743,9.75,74.68,33464,3.6,4949.2,105.7,18245.2,5027.9,2.82,667,3378,84.6,284,0.316626762
