,toCode,fromCode,dis,areaX,areaY,Country_income,Low_Income,predicted
245,15,31,1717,6219,1183000,8984.92,84.8,0.004
246,21,31,1796,6219,148000,11191.49,118.6,0.005
247,22,31,2090,6219,187000,10780.12,115.6,0.003
248,23,31,2342,6219,469000,10453.2,155.6,0.005
249,32,31,295,6219,102658,14958.44,40.9,0.037
250,33,31,178,6219,104141,19373.28,8.8,0.03
251,34,31,467,6219,139427,9916.42,84.2,0.043
252,35,31,836,6219,120000,12650.19,18.1,0.012
253,36,31,775,6219,166900,10116.58,98.1,0.014
254,37,31,839,6219,157126,11882.26,60.6,0.011
255,41,31,943,6219,167000,9966.07,141.9,0.007
256,42,31,908,6219,187400,10849.06,137.2,0.009
257,43,31,1049,6219,211829,10060.17,145.1,0.006
258,44,31,1539,6219,184800,12245.56,40,0.002
259,45,31,1892,6219,236700,7793.08,57.3,0.002
260,46,31,2134,6219,34000,9912.57,17.1,0.003
261,50,31,1945,6219,82400,9489.82,56.9,0.003
262,51,31,2181,6219,488000,9347.74,189.3,0.004
263,52,31,1910,6219,170000,6671.22,54.3,0.001
264,53,31,2529,6219,394000,7456.13,93.1,0.002
265,54,31,4157,6219,1220000,6553.38,4.3,0.001
266,61,31,1381,6219,205800,7932.21,84.6,0.003
267,62,31,2006,6219,454430,6276.59,88.1,0.003
268,63,31,2240,6219,721000,7282.73,23.5,0.002
269,64,31,2092,6219,66400,7598.67,20.8,0.002
270,65,31,3929,6219,1664897,7846.59,96,0.001
271,11,32,1373,102658,16411,18867.3,11.7,0.017
272,12,32,975,102658,11920,17014.18,18,0.023
273,13,32,942,102658,190000,10186.14,88.1,0.017
274,14,32,1095,102658,156000,8809.44,91.7,0.013
275,15,32,1545,102658,1183000,8984.92,84.8,0.01
276,21,32,1610,102658,148000,11191.49,118.6,0.016
277,22,32,1915,102658,187000,10780.12,115.6,0.023
278,23,32,2166,102658,469000,10453.2,155.6,0.021
279,31,32,295,102658,6219,21191.64,32.4,0.076
280,33,32,278,102658,104141,19373.28,8.8,0.049
281,34,32,173,102658,139427,9916.42,84.2,0.057
282,35,32,966,102658,120000,12650.19,18.1,0.021
283,36,32,632,102658,166900,10116.58,98.1,0.022
284,37,32,663,102658,157126,11882.26,60.6,0.021
285,41,32,666,102658,167000,9966.07,141.9,0.022
286,42,32,614,102658,187400,10849.06,137.2,0.028
287,43,32,927,102658,211829,10060.17,145.1,0.016
288,44,32,1462,102658,184800,12245.56,40,0.013
289,45,32,1783,102658,236700,7793.08,57.3,0.014
290,46,32,2017,102658,34000,9912.57,17.1,0.015
291,50,32,1651,102658,82400,9489.82,56.9,0.018
292,51,32,1970,102658,488000,9347.74,189.3,0.025
293,52,32,1844,102658,170000,6671.22,54.3,0.003
294,53,32,2402,102658,394000,7456.13,93.1,0.004
295,54,32,3880,102658,1220000,6553.38,4.3,0.002
296,61,32,1174,102658,205800,7932.21,84.6,0.014
297,62,32,1729,102658,454430,6276.59,88.1,0.008
298,63,32,2029,102658,721000,7282.73,23.5,0.007
299,64,32,1815,102658,66400,7598.67,20.8,0.009
300,65,32,3652,102658,1664897,7846.59,96,0.007
301,11,33,1322,104141,16411,18867.3,11.7,0.015
302,12,33,1240,104141,11920,17014.18,18,0.021
303,13,33,1200,104141,190000,10186.14,88.1,0.02
304,14,33,1370,104141,156000,8809.44,91.7,0.011
305,15,33,1802,104141,1183000,8984.92,84.8,0.015
306,21,33,1800,104141,148000,11191.49,118.6,0.02
307,22,33,2173,104141,187000,10780.12,115.6,0.022
308,23,33,2425,104141,469000,10453.2,155.6,0.013
309,31,33,178,104141,6219,21191.64,32.4,0.064
310,32,33,278,104141,102658,14958.44,40.9,0.055
311,34,33,419,104141,139427,9916.42,84.2,0.06
312,35,33,688,104141,120000,12650.19,18.1,0.026
313,36,33,562,104141,166900,10116.58,98.1,0.047
314,37,33,929,104141,157126,11882.26,60.6,0.019
315,41,33,941,104141,167000,9966.07,141.9,0.017
316,42,33,860,104141,187400,10849.06,137.2,0.022
317,43,33,971,104141,211829,10060.17,145.1,0.017
318,44,33,1352,104141,184800,12245.56,40,0.012
319,45,33,1706,104141,236700,7793.08,57.3,0.015
320,46,33,1947,104141,34000,9912.57,17.1,0.016
321,50,33,1897,104141,82400,9489.82,56.9,0.021
322,51,33,2179,104141,488000,9347.74,189.3,0.02
323,52,33,1763,104141,170000,6671.22,54.3,0.004
324,53,33,2343,104141,394000,7456.13,93.1,0.006
325,54,33,4155,104141,1220000,6553.38,4.3,0.002
326,61,33,1379,104141,205800,7932.21,84.6,0.01
327,62,33,2005,104141,454430,6276.59,88.1,0.006
328,63,33,2239,104141,721000,7282.73,23.5,0.004
329,64,33,2091,104141,66400,7598.67,20.8,0.012
330,65,33,3928,104141,1664897,7846.59,96,0.007
331,11,34,1037,139427,16411,18867.3,11.7,0.04
332,12,34,1217,139427,11920,17014.18,18,0.04
333,13,34,915,139427,190000,10186.14,88.1,0.027
334,14,34,1051,139427,156000,8809.44,91.7,0.018
335,15,34,1518,139427,1183000,8984.92,84.8,0.01
336,21,34,1587,139427,148000,11191.49,118.6,0.015
337,22,34,1888,139427,187000,10780.12,115.6,0.018
338,23,34,2140,139427,469000,10453.2,155.6,0.017
339,31,34,467,139427,6219,21191.64,32.4,0.168
340,32,34,173,139427,102658,14958.44,40.9,0.159
341,33,34,419,139427,104141,19373.28,8.8,0.156
342,35,34,999,139427,120000,12650.19,18.1,0.025
343,36,34,509,139427,166900,10116.58,98.1,0.077
344,37,34,660,139427,157126,11882.26,60.6,0.04
