"","toCode","fromCode","rate","dis","orgGDP","amount","Province","Population_14","Population_13","Population_12","Population_11","Population_10","Birth_Rate_14","Birth_Rate_13","Birth_Rate_12","Birth_Rate_11","Birth_Rate_10","Avg_Life_14","Avg_Life_13","Avg_Life_12","Avg_Life_11","Avg_Life_10","GDP_PC_14","GDP_PC_13","GDP_PC_12","GDP_PC_11","GDP_PC_10","Unemploy_Rate_14","Unemploy_Rate_13","Unemploy_Rate_12","Unemploy_Rate_11","Unemploy_Rate_10","City_Income_14","City_Income_13","City_Income_12","City_Income_11","City_Income_10","Country_income_14","Country_income_13","Country_income_12","Country_income_11","Country_income_10","Green_Rate_14","Green_Rate_13","Green_Rate_12","Green_Rate_11","Green_Rate_10","Disasters_14","Disasters_13","Disasters_12","Disasters_11","Disasters_10","Stu_Rate_H_14","Stu_Rate_H_13","Stu_Rate_H_12","Stu_Rate_H_11","Stu_Rate_H_10","Low_Income_14","Low_Income_13","Low_Income_12","Low_Income_11","Low_Income_10","Low_Income_Insurance_14","Low_Income_Insurance_13","Low_Income_Insurance_12","Low_Income_Insurance_11","Low_Income_Insurance_10","X","Price_Rates_14","Price_Rates_13","Price_Rates_12","Price_Rates_11","Price_Rates_10"
"23",52,11,0,"2318",81658,0,"贵州省",3508,3502,3484,3469,3479,12.98,13.05,13.27,13.31,13.96,71.1,71.1,71.1,71.1,71.1,26437,23151,19710,16413,13119,3.3,3.3,3.3,3.6,3.6,52772,47364,41156,36102,30433,6671.22,5897.77,5124.32,4350.87,3577.42,34,34.5,32.8,32.3,29.6,0,53,25,10,123,1690,1535,1392,1254,1109,54.3,54.3,54.3,54.3,54.3,212,212,212,212,212,212,102.4,102.5,102.7,105.1,102.9
"24",53,11,0,"2907",81658,0,"云南省",4714,4687,4659,4631,4602,12.65,12.6,12.63,12.71,13.1,69.54,69.54,69.54,69.54,69.54,27264,25322,22195,19265,15752,4,4,4,4.1,4.2,46101,42447,37629,34004,29195,7456.13,6723.64,5991.15,5258.66,4526.17,38.1,37.8,39.3,38.7,37.3,0,105,145,50,277,1731,1662,1566,1520,1391,93.1,93.1,93.1,93.1,93.1,206,206,206,206,206,206,102.4,103.1,102.7,104.9,103.7
"25",54,11,0,"3736",81658,0,"西藏自治区",318,312,308,303,300,15.76,15.77,15.48,15.39,15.8,68.17,68.17,68.17,68.17,68.17,29252,26326,22936,20077,17027,2.5,2.5,2.6,3.2,4,61235,57773,51705,49464,49898,7359.2,6553.38,5747.56,4941.74,4135.92,43.8,18.1,32.4,24.1,25.4,0,83,0,3,7,1676,1528,1508,1446,1373,4.3,4.3,4.3,4.3,4.3,306,306,306,306,306,306,102.9,103.6,103.5,105,102.2
"26",61,11,0,"1092",81658,0,"陕西省",3775,3764,3753,3743,3735,10.13,10.01,10.12,9.75,9.73,74.68,74.68,74.68,74.68,74.68,46929,43117,38564,33464,27133,3.3,3.3,3.2,3.6,3.9,50535,47446,43073,38143,33384,7932.21,7092.2,6252.19,5412.18,4572.17,40.5,40.2,40.4,38.7,38.3,0,70,13,85,318,3652,3612,3525,3378,3208,84.6,84.6,84.6,84.6,84.6,284,284,284,284,284,284,101.6,103,102.8,105.7,104
"27",62,11,0,"1622",81658,0,"甘肃省",2591,2582,2578,2564,2560,12.21,12.16,12.11,12.08,12.05,72.23,72.23,72.23,72.23,72.23,26433,24539,21978,19595,16113,2.2,2.3,2.7,3.1,3.2,46960,42833,37679,32092,29096,6276.59,5588.78,4900.97,4213.16,3525.35,30.8,32.1,30,27.9,27.1,0,98,12,15,1821,2219,2193,2145,2041,1882,88.1,88.1,88.1,88.1,88.1,189,189,189,189,189,189,102.1,103.2,102.7,105.9,104.1
"28",63,11,0,"1819",81658,0,"青海省",583,578,573,568,563,14.67,14.16,14.3,14.43,14.94,69.96,69.96,69.96,69.96,69.96,39671,36875,33181,29522,24115,3.2,3.3,3.4,3.8,3.8,57084,51393,46483,41370,36121,7282.73,6461.59,5640.45,4819.31,3998.17,31.6,31.2,32.5,31.1,29.4,0,16,5,6,0,1220,1162,1133,1082,1119,23.5,23.5,23.5,23.5,23.5,232,232,232,232,232,232,102.8,103.9,103.1,106.1,105.4
"29",64,11,0,"1192",81658,0,"宁夏回族自治区",662,654,647,639,633,13.1,13.12,13.26,13.65,14.14,73.38,73.38,73.38,73.38,73.38,41834,39613,36394,33043,26860,4,4.1,4.2,4.4,4.4,54858,50476,47436,42703,37166,8410.02,7598.67,6787.32,5975.97,5164.62,38,38.5,38.4,37.5,38.8,0,0,0,0,0,2255,2195,2107,1912,1868,20.8,20.8,20.8,20.8,20.8,212,212,212,212,212,212,101.9,103.4,102,106.3,104.1
"30",65,11,0,"3300",81658,0,"新疆维吾尔自治区",2298,2264,2233,2209,2185,16.44,15.84,15.32,14.99,15.99,72.35,72.35,72.35,72.35,72.35,40648,37553,33796,30087,25034,3.2,3.4,3.4,3.2,3.2,53471,49064,44576,38238,32003,8723.83,7846.59,6969.35,6092.11,5214.87,36.8,36.4,35.9,36.6,36.4,0,4,34,9,13,1749,1681,1596,1521,1467,96,96,96,96,96,183,183,183,183,183,183,102.1,103.9,103.8,105.9,104.3
"31",11,12,0.427350427350427,"125",85213,50,"北京市",2152,2115,2069,2019,1962,9.75,8.93,9.05,8.29,7.48,80.18,80.18,80.18,80.18,80.18,99995,94648,87475,81658,73856,1.3,1.2,1.3,1.4,1.4,102268,93006,84742,75482,65158,18867.3,17101.18,15335.06,13568.94,11802.82,49.1,47.1,46.2,45.6,44.15,0,0,5,0,0,5429,5469,5534,5613,6196,11.7,11.7,11.7,11.7,11.7,430,430,430,430,430,430,101.6,103.3,103.3,105.6,102.4
"32",13,12,0.205128205128205,"308",85213,24,"河北省",7384,7333,7288,7241,7194,13.18,13.04,12.88,13.02,13.22,74.97,74.97,74.97,74.97,74.97,39984,38909,36584,33969,28668,3.6,3.7,3.7,3.8,3.9,45114,41501,38658,35309,31451,10186.14,9187.71,8189.28,7190.85,6192.42,41.9,41.2,41,42.1,42.7,0,16,1,0,0,2098,2108,2063,2006,1951,88.1,88.1,88.1,88.1,88.1,265,265,265,265,265,265,101.7,103,102.6,105.7,103.1
