gbcode,q101a1,q101b1,q101c1,q101d1,q101e1,q101f1,q101g1,q101h1,q101i1,q101j1,q101k1,q101l1,q101m1,q101a2,q101a3,q101a4,q101a5,q101a6,q201,q202,q203,q204,q205,q206,q207,q208,q209,q211,q212,q213,q301,q302,q304,q305,q306,q307,q308,q309,q310,q311,q312,q313,q314,q315,q316
110102,1,1,198909,37,1,4,1,2,1,1,1,2007,1,2,,,,,2006,1,7,48,2,1,1900,7,8,1,1,3,200808,0,,,,,,,,,,,,,
110102,1,1,198711,34,1,4,1,1,1,1,1,2008,1,,,,,,2008,1,7,48,2,1,1400,7,8,6,1,3,,,,,,,,,,,,,,,
110102,1,1,197002,13,1,4,1,2,1,1,1,1990,1,2,3,3,,,1990,1,7,48,2,1,2500,7,8,5,1,3,199110,2,,,,,,,,,,,,,
110102,1,1,199306,13,1,3,1,1,1,1,1,2012,1,,,,,,2012,1,7,46,2,1,3200,7,8,4,1,3,,,,,,,,,,,,,,,
110102,1,1,199204,13,1,4,2,1,1,1,1,2011,1,,,,,,2011,1,7,46,2,1,2800,7,8,4,1,1,,,,,,,,,,,,,,,
110102,1,2,199210,13,1,5,2,1,1,1,1,2009,1,,,,,,2009,1,7,48,2,1,1500,7,8,4,2,,,,,,,,,,,,,,,,
110102,1,2,199001,14,1,3,1,1,1,1,1,2007,1,,,,,,2007,1,15,70,12,1,1500,7,8,4,2,,,,,,,,,,,,,,,,
110102,1,1,198908,13,1,3,1,1,1,1,1,2012,1,,,,,,2007,1,7,46,2,1,3000,7,8,4,1,3,,,,,,,,,,,,,,,
110102,1,2,198908,37,1,4,1,1,1,1,1,2012,1,,,,,,2012,1,7,48,2,1,1500,7,8,4,1,3,,,,,,,,,,,,,,,
110102,1,2,197408,37,1,6,1,2,1,1,1,1996,1,2,3,,,,1996,1,6,41,5,4,3000,7,9,2,2,,199808,1,2,,1,200202,3,2,2,1,1,1,1,2,1
110102,1,1,198412,33,1,4,1,2,1,1,1,2003,1,2,3,,,,2003,1,6,41,5,3,3500,7,8,2,2,,200909,1,2,,,,,,,,,,,,
110102,1,1,198207,21,1,7,2,2,1,1,1,2006,1,2,3,,,,2001,1,15,20,8,1,4800,5,8,2,1,2,200910,1,2,,,,,,,,,,,,
110102,1,1,197302,13,1,3,1,2,1,1,1,1996,1,2,3,3,,,1996,1,6,41,5,3,2000,7,12,5,2,,199803,2,,,,,,,,,,,,,
110102,1,2,198705,23,1,6,2,1,1,1,1,2010,1,,,,,,2007,1,12,30,6,1,4000,5,8,2,1,1,,,,,,,,,,,,,,,
110102,1,2,197809,44,1,7,2,2,1,1,1,2005,1,2,3,,,,2002,1,13,20,3,1,6000,5,6,5,1,2,200701,1,2,,1,201201,7,2,1,0,2,2,2,4,1
110102,1,2,198805,61,1,6,1,2,1,1,1,2012,1,2,3,,,,2012,1,13,20,6,1,5000,6,8,5,2,,201107,1,2,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
110102,1,2,198901,32,3,6,2,2,1,1,1,2009,1,2,3,,,,2009,1,12,48,6,1,3000,5,8,2,2,,200912,1,2,,1,201203,7,2,7,0,1,2,1,2,1
110102,1,2,196803,33,1,3,1,2,1,1,1,2011,1,2,3,3,,,2011,1,6,41,5,3,5000,7,8,2,2,,198906,2,2,,1,199503,2,1,2,0,2,2,2,4,1
110102,1,2,198003,13,1,7,2,2,1,1,1,2006,1,2,3,,,,2002,1,13,20,6,1,6000,5,8,2,1,2,200612,1,1,2,1,200806,7,2,5,0,2,2,2,4,1
110102,1,2,198309,61,1,4,1,2,1,1,1,2011,1,2,3,,,,2000,1,7,43,6,1,3600,6,6,2,1,1,200808,1,1,2,1,201106,7,2,1,0,1,2,1,2,1
110102,1,2,198403,13,1,7,2,2,1,1,1,2006,1,2,,,,,2006,1,12,30,6,1,2600,6,8,5,1,3,200901,0,,,2,,,,,0,2,2,2,4,1
110102,1,2,197102,32,1,3,1,2,1,1,1,2001,1,2,3,3,,,2001,1,10,64,3,1,1000,7,6,1,1,3,199112,2,,,1,200608,2,1,2,0,1,2,2,4,2
110102,1,2,197301,35,1,3,1,2,1,1,1,2000,1,2,3,3,,,2000,1,6,41,5,4,2000,7,9,2,2,,199508,2,,,1,201110,3,2,2,0,1,1,1,1,1
110102,1,1,197310,15,1,3,1,2,1,1,1,2008,1,2,3,,,,2008,1,6,41,5,3,1000,7,8,1,2,,200712,1,2,,,,,,,,,,,,
110102,1,1,197710,37,1,7,2,2,1,1,1,2005,1,2,3,,,,2000,1,4,20,3,1,5000,5,8,2,1,1,201004,1,2,,,,,,,,,,,,
110102,1,1,196511,42,1,3,2,2,1,1,1,2000,2,2,3,3,,,1998,1,6,41,5,3,20000,7,8,2,2,,199705,2,,,,,,,,,,,,,
110102,1,1,198107,41,1,6,1,2,1,1,1,2006,1,2,3,,,,2001,1,15,41,5,3,20000,7,7,2,1,1,200505,1,2,,,,,,,,,,,,
110102,1,1,198703,23,1,6,2,1,1,1,1,2009,1,,,,,,2005,1,9,48,7,1,5000,6,8,2,1,1,,,,,,,,,,,,,,,
110102,1,1,197109,13,1,5,1,2,1,1,1,1993,1,2,3,,,,1993,1,1,20,6,1,3000,6,8,5,1,2,199605,1,2,,,,,,,,,,,,
110102,1,1,197111,37,1,3,1,2,1,1,1,2011,1,2,3,3,3,,1991,1,7,48,10,1,1700,7,8,5,2,,199511,3,,,,,,,,,,,,,
110102,1,2,196811,32,1,3,1,2,1,1,1,1992,1,2,3,,,,1983,1,8,48,12,3,5000,7,14,6,2,,198812,1,1,1,1,199001,3,1,1,0,1,2,2,4,1
110102,1,2,196608,43,1,3,1,2,1,1,1,2010,1,2,3,4,8,,2002,1,8,44,6,1,5000,6,12,2,2,,198801,1,1,2,1,198910,3,1,1,0,2,2,2,1,1
110102,1,1,196510,42,1,3,1,2,1,1,1,2008,1,2,3,3,,,2003,1,6,41,12,3,3000,7,12,2,2,,198710,2,,,,,,,,,,,,,
110102,1,2,198208,13,1,4,1,2,1,1,1,2002,1,2,3,,,,2002,1,6,41,12,3,3000,7,8,2,2,,200401,1,2,,1,200710,7,2,1,0,2,2,2,4,1
110102,1,2,197709,13,1,3,1,2,5,1,1,2011,2,2,3,3,,,2000,4,,,,,,,,6,2,,200010,2,,,1,201101,3,1,2,0,2,2,2,1,1
110102,1,1,198411,37,1,3,1,2,1,1,1,2008,1,2,3,,,,1999,1,4,47,12,3,3000,7,12,6,2,,200310,1,2,,,,,,,,,,,,
110102,1,1,196911,41,1,3,1,2,1,1,1,2000,1,2,3,3,,,2000,1,6,41,5,3,3000,7,8,2,2,,198810,2,,,,,,,,,,,,,
110102,1,2,197008,36,1,3,1,2,5,1,1,2006,1,2,3,3,,,2006,4,,,,,,,,6,2,,198912,2,,,1,199311,2,1,2,0,2,2,2,4,1
110102,1,2,197707,21,1,4,2,2,1,1,1,2011,1,2,3,,,,2000,1,6,41,12,3,2000,7,12,2,2,,200404,1,1,2,1,200701,7,2,1,0,2,2,2,4,1
110102,1,1,198707,12,1,4,1,2,1,1,1,2012,1,2,3,,,,1998,1,6,41,12,3,4000,7,12,6,2,,199908,1,2,,,-9,,,,,,,,,
110102,1,1,199306,22,1,4,1,1,1,1,1,2010,2,,,,,,2009,1,8,48,5,1,1800,6,8,4,2,,,,,,,,,,,,,,,,
110102,1,2,199402,62,1,3,1,1,1,1,1,2010,2,,,,,,2010,1,8,48,5,1,1200,6,8,2,2,,,,,,,,,,,,,,,,
110102,1,1,196307,41,1,2,1,2,1,1,1,2007,2,2,3,3,3,,2004,1,6,41,12,3,2000,7,6,6,2,,198811,3,,,,,,,,,,,,,
110102,1,1,198904,13,1,3,1,1,1,1,1,2011,1,,,,,,2005,1,8,47,5,1,2000,5,8,2,2,,,,,,,,,,,,,,,,
110102,1,1,197710,34,1,2,1,2,1,1,1,2010,1,2,3,3,,,1996,1,8,47,5,1,1500,5,6,2,2,,199702,2,,,,,,,,,,,,,
110102,1,2,198910,13,1,3,1,2,4,1,1,2011,1,2,,,,,2008,3,,,,,,,,2,2,,201105,0,,,2,,,,,0,1,2,2,4,1
110102,1,1,199006,13,1,3,1,1,1,1,1,2011,1,,,,,,2005,1,8,48,5,1,2000,6,8,2,2,,,,,,,,,,,,,,,,
110102,1,1,196708,41,1,1,1,2,1,1,1,1999,1,2,3,3,3,,1993,1,6,41,12,3,2000,7,6,6,2,,199112,3,,,,,,,,,,,,,
110102,1,1,197805,37,1,2,1,2,1,1,1,2010,1,2,3,3,,,1997,1,8,45,3,1,1800,7,2,4,2,,200202,2,,,,,,,,,,,,,
110102,1,2,197501,41,1,7,2,2,1,1,1,2000,1,2,,,,,2000,1,8,30,10,1,4500,5,9,7,1,1,200808,0,,,2,,,,,0,2,2,2,4,1
