q101b1,q101c1,q101e1,q101f1,q203,q207
1,197203,3,3,6,10000
2,197301,1,5,6,7000
2,196703,1,2,8,2000
2,197309,1,4,6,10000
2,196707,1,3,-1,-1
2,199102,1,3,6,2000
2,196903,1,2,8,1800
2,196704,1,3,-1,-1
2,197506,1,2,-1,-1
2,196912,1,2,6,1800
1,198710,1,3,9,1800
2,198609,1,3,-1,-1
1,198310,1,6,8,6000
2,196712,1,3,8,3500
1,196711,1,4,4,4000
1,196903,1,4,4,2000
1,198607,3,3,10,3000
1,198110,1,3,9,3700
1,198807,1,6,13,1800
1,199002,1,4,7,2500
1,198409,1,6,14,3000
1,198705,1,3,10,3000
1,197905,1,3,10,2800
2,198110,1,3,-1,-1
2,198210,1,3,-1,-1
2,198104,1,3,-1,-1
2,196905,1,3,4,2800
1,196510,1,2,4,3000
1,197201,1,3,4,6000
1,196301,1,4,4,3000
1,197105,1,3,4,3000
2,196408,1,1,6,4000
2,198510,1,3,4,1500
2,197405,1,2,4,1300
1,195812,1,4,6,1800
1,196709,1,3,8,2500
1,197608,1,3,4,5000
1,198808,1,3,4,5000
1,196409,1,3,8,1800
2,198306,1,3,15,2600
2,198412,1,3,-1,-1
2,196402,1,3,6,3000
2,198009,1,5,8,2000
1,196810,1,5,15,700
1,197008,1,4,11,4500
2,198212,1,7,12,5000
2,198401,2,8,-1,-1
2,198107,1,3,7,3000
2,198005,1,6,8,6000
1,198704,1,3,7,4000
1,198004,1,3,7,5000
1,198204,1,2,10,4000
2,198412,1,6,8,4000
1,197310,1,3,8,4000
2,197404,1,4,8,3000
2,197007,3,4,-1,-1
2,198302,1,3,6,5000
2,198007,1,3,8,4000
2,197809,1,6,8,3000
1,196810,1,3,6,2000
2,198503,1,4,8,2000
2,197804,1,4,7,5000
2,198208,1,7,8,4000
2,198511,1,4,11,3000
2,198705,1,6,6,2000
2,198903,1,4,6,2000
1,199101,1,3,6,2000
1,195604,1,4,8,1600
2,196609,1,2,-1,-1
2,197403,1,4,-1,-1
1,196101,1,3,8,1600
2,198010,1,3,8,2000
1,196511,1,3,8,2000
1,196403,1,4,8,1800
1,198206,1,5,8,2300
1,197307,1,2,8,2300
1,196711,1,2,8,1600
1,195705,1,4,8,1600
1,195708,1,3,8,1500
1,196002,1,5,8,1600
2,198408,1,3,8,2500
2,198906,1,4,-1,-1
1,199010,1,5,6,2000
2,197202,3,3,6,2800
2,199006,1,5,6,2800
1,199412,1,3,7,2200
2,198905,1,4,-1,-1
1,199304,1,3,7,1800
1,199211,1,5,6,3000
2,198904,1,3,7,2800
2,198807,1,3,8,1500
2,198805,1,3,8,1250
2,196510,1,2,8,1300
2,198010,20,6,13,2900
2,196910,1,2,8,2000
2,197508,1,2,8,1500
2,198611,1,6,7,4800
1,197908,1,7,13,5000
1,198906,1,4,6,2000
2,198509,1,5,6,2600
1,199001,1,4,6,2000
2,198609,1,4,6,2000
2,197611,1,7,11,3000
2,198607,1,3,-1,-1
2,197603,1,4,8,1800
2,196803,3,3,8,1500
2,198007,1,6,13,3000
1,197805,1,3,8,2000
1,197707,1,4,8,2000
2,198412,1,7,-1,-1
1,197607,14,6,8,3000
1,196003,1,2,8,1598
1,196505,1,3,8,3000
1,196912,1,2,8,3000
2,198510,1,7,-1,-1
2,198002,1,3,8,1598
1,198006,1,4,8,2500
1,197412,1,4,8,3000
1,196310,1,4,8,3000
2,197512,14,6,13,2000
2,197411,1,3,-1,-1
2,198309,1,4,-1,-1
2,197203,1,1,-1,-1
2,197910,1,3,8,1900
2,198610,1,3,-1,-1
2,199301,1,4,1,2000
2,196510,1,3,-1,-1
1,198112,1,3,6,4800
2,196904,1,2,6,4500
2,198107,1,3,7,2500
2,199010,1,3,-1,-1
1,197904,1,3,4,5000
2,197805,1,3,8,1500
2,198107,1,3,-1,-1
1,196811,1,3,4,4000
2,198001,1,3,-1,-1
1,198003,1,3,6,3500
2,198301,1,3,-1,-1
2,197409,1,3,-1,-1
1,198602,1,3,6,3000
2,198503,1,3,-1,-1
1,197102,1,3,6,3800
1,197808,1,3,6,4000
2,198708,1,3,-1,-1
1,199204,1,3,8,1600
1,198803,1,3,8,1600
1,199204,1,3,8,1600
1,198510,1,4,8,1600
1,198709,1,3,8,1600
1,199412,1,5,8,1600
1,199501,1,3,8,1600
1,199501,1,3,8,1600
1,198904,1,3,8,1200
2,197203,1,3,8,1800
2,198204,1,3,-1,-1
2,198307,1,3,6,6000
2,196904,1,3,-1,-1
2,198604,1,3,8,2000
2,196503,1,3,6,2000
2,197609,1,3,8,2000
1,199004,1,3,6,2800
2,197609,1,3,6,2500
2,199301,1,3,8,1800
2,198709,1,3,8,2000
2,198602,1,6,8,3000
2,198905,1,3,6,2000
2,199305,1,3,6,2800
2,198902,1,3,6,2600
2,198803,1,3,7,1800
2,198307,1,3,-1,-1
2,199109,1,3,6,2600
2,198812,1,3,7,2500
2,198201,1,4,-1,-1
2,197012,1,3,-1,-1
2,199205,1,3,7,1800
2,197702,1,3,7,2300
2,198005,1,3,10,1900
2,197310,1,3,6,3000
2,199011,1,3,7,2300
2,199405,1,3,8,1600
2,198111,1,3,-1,-1
2,198106,1,4,6,4000
2,198111,1,3,6,1800
2,198001,1,3,-1,-1
1,198808,1,3,6,2800
1,199006,1,3,6,2000
1,199102,1,3,6,2600
1,198905,1,3,6,1800
1,198810,1,3,6,1200
1,198803,1,3,7,1800
1,199009,10,3,6,2000
1,199003,1,3,6,2600
1,198809,1,3,6,2300
2,197604,1,4,-1,-1
1,199401,1,3,8,1600
2,197807,1,3,6,1500
2,198612,1,3,-1,-1
2,198606,1,3,6,3000
2,197109,1,3,6,3000
2,198708,1,2,-1,-1
2,197810,1,3,-1,-1
2,197511,1,3,-1,-1
1,197510,1,3,13,6000
2,197002,1,3,6,6000
2,197908,1,3,-1,-1
2,198612,1,6,-1,-1
2,198112,1,4,-1,-1
2,197802,1,3,-1,-1
2,196312,1,3,7,5000
2,197509,1,3,1,2100
2,198704,1,3,4,4000
2,198009,1,3,-1,-1
2,196908,1,4,7,1500
1,199203,1,3,8,1200
2,196912,1,3,6,5000
1,199107,1,3,6,2000
1,195708,1,2,8,2600
2,196707,1,2,-1,-1
1,197509,1,3,1,35000
1,196405,1,3,4,4000
2,199108,1,5,6,2400
2,199508,1,4,6,2500
1,198903,1,5,10,2200
2,197906,1,4,-1,-1
