q101b1,q101c1,q101e1,q101f1,q101g1,q101h1,q101i1,q101m1,q203,q206,q207,q211,q212,q213,q301
1,197109,1,5,1,2,1,1,1,1,3000,5,1,2,199605
1,197111,1,3,1,2,1,1,7,1,1700,5,2,-1,199511
2,196811,1,3,1,2,1,1,8,3,5000,6,2,-1,198812
2,196608,1,3,1,2,1,1,8,1,5000,2,2,-1,198801
1,196510,1,3,1,2,1,1,6,3,3000,2,2,-1,198710
2,198208,1,4,1,2,1,1,6,3,3000,2,2,-1,200401
2,197709,1,3,1,2,5,2,-1,-1,-1,6,2,-1,200010
1,198411,1,3,1,2,1,1,4,3,3000,6,2,-1,200310
1,196911,1,3,1,2,1,1,6,3,3000,2,2,-1,198810
2,197008,1,3,1,2,5,1,-1,-1,-1,6,2,-1,198912
2,197707,1,4,2,2,1,1,6,3,2000,2,2,-1,200404
1,198707,1,4,1,2,1,1,6,3,4000,6,2,-1,199908
1,199306,1,4,1,1,1,2,8,1,1800,4,2,-1,-1
2,199402,1,3,1,1,1,2,8,1,1200,2,2,-1,-1
1,196307,1,2,1,2,1,2,6,3,2000,6,2,-1,198811
1,198904,1,3,1,1,1,1,8,1,2000,2,2,-1,-1
1,197710,1,2,1,2,1,1,8,1,1500,2,2,-1,199702
2,198910,1,3,1,2,4,1,-1,-1,-1,2,2,-1,201105
1,199006,1,3,1,1,1,1,8,1,2000,2,2,-1,-1
1,196708,1,1,1,2,1,1,6,3,2000,6,2,-1,199112
1,197805,1,2,1,2,1,1,8,1,1800,4,2,-1,200202
2,197501,1,7,2,2,1,1,8,1,4500,7,1,1,200808
2,198004,1,7,2,2,1,1,15,1,7000,7,1,3,200804
1,197804,1,8,2,4,1,1,13,1,6000,2,1,1,200606
1,197007,1,6,2,4,1,1,12,1,5000,7,1,3,-9
2,197811,1,7,2,1,1,1,9,1,7000,7,1,1,-1
1,197810,1,7,2,2,1,1,12,1,10000,7,1,3,200609
1,197810,1,7,2,1,1,1,4,3,8000,2,1,1,-1
2,197810,1,7,2,1,1,1,8,1,5000,2,1,1,-1
1,197801,1,7,2,2,1,1,9,1,7000,7,1,2,200503
2,197510,7,6,2,2,1,1,12,3,5000,7,2,-1,200610
1,198008,1,6,2,2,1,1,9,1,8000,2,1,1,200608
2,198004,1,7,2,2,1,1,8,1,6000,7,1,2,200804
1,197808,1,7,2,2,1,1,1,1,8000,7,1,1,200607
1,198007,1,7,2,2,1,1,8,1,2000,1,1,1,201006
2,198011,4,7,2,2,1,1,1,1,6000,2,1,3,200510
2,197806,1,6,2,2,1,1,7,1,2000,5,1,3,199910
1,197506,1,7,2,1,1,1,8,1,5000,1,1,2,-1
